Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2023,March,4 Western,Moyne,435,"2,470.2"
2023,March,4 Western,Northern Grampians,715,"6,019.0"
2023,March,4 Western,Pyrenees,283,"3,634.7"
2023,March,4 Western,Queenscliffe,53,"1,636.8"
2023,March,4 Western,Southern Grampians,743,"4,511.2"
2023,March,4 Western,Surf Coast,828,"2,107.3"
2023,March,4 Western,Swan Hill,"1,531","7,217.6"
2023,March,4 Western,Warrnambool,"2,107","5,867.9"
2023,March,4 Western,West Wimmera,108,"2,746.0"
2023,March,4 Western,Yarriambiack,304,"4,758.2"
2023,March,4 Western,Total,"58,745","5,473.1"
2023,March,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"1,072",
2023,March,Justice Institutions and Immigration Facilities,Total,"1,072",
2023,March,Unincorporated Vic,Unincorporated Vic,92,
2023,March,Unincorporated Vic,Total,92,
2022,March,1 North West Metro,Banyule,"5,228","4,102.7"
2022,March,1 North West Metro,Brimbank,"12,282","6,350.8"
2022,March,1 North West Metro,Darebin,"9,249","6,141.2"
2022,March,1 North West Metro,Hobsons Bay,"4,586","4,992.2"
2022,March,1 North West Metro,Hume,"12,137","4,793.8"
2022,March,1 North West Metro,Maribyrnong,"7,012","8,004.1"
2022,March,1 North West Metro,Melbourne,"24,964","15,570.6"
2022,March,1 North West Metro,Melton,"8,768","4,536.3"
2022,March,1 North West Metro,Merri-bek,"9,144","5,228.5"
2022,March,1 North West Metro,Moonee Valley,"6,004","4,876.6"
2022,March,1 North West Metro,Nillumbik,"1,312","2,080.4"
2022,March,1 North West Metro,Whittlesea,"8,918","3,760.6"
2022,March,1 North West Metro,Wyndham,"12,036","3,890.1"
2022,March,1 North West Metro,Yarra,"8,770","9,492.2"
2022,March,1 North West Metro,Total,"130,410","5,776.3"
2022,March,2 Eastern,Alpine,369,"2,797.4"
2022,March,2 Eastern,Bass Coast,"2,141","5,120.4"
2022,March,2 Eastern,Baw Baw,"3,027","5,106.5"
2022,March,2 Eastern,Benalla,967,"6,686.0"
2022,March,2 Eastern,Boroondara,"5,432","3,202.2"
2022,March,2 Eastern,East Gippsland,"3,620","7,397.0"
2022,March,2 Eastern,Greater Shepparton,"5,763","8,356.5"
2022,March,2 Eastern,Indigo,461,"2,645.6"
2022,March,2 Eastern,Knox,"6,612","4,144.2"
2022,March,2 Eastern,Latrobe,"7,800","10,038.0"
2022,March,2 Eastern,Manningham,"2,857","2,257.2"
2022,March,2 Eastern,Mansfield,338,"3,269.5"
2022,March,2 Eastern,Maroondah,"5,078","4,386.7"
2022,March,2 Eastern,Mitchell,"2,341","4,529.6"
2022,March,2 Eastern,Moira,"1,567","5,123.6"
2022,March,2 Eastern,Monash,"8,286","4,247.5"
2022,March,2 Eastern,Murrindindi,530,"3,452.1"
2022,March,2 Eastern,South Gippsland,"1,190","3,875.2"
2022,March,2 Eastern,Strathbogie,443,"3,847.2"
2022,March,2 Eastern,Towong,148,"2,387.9"
2022,March,2 Eastern,Wangaratta,"1,651","5,519.0"
2022,March,2 Eastern,Wellington,"2,954","6,447.2"
2022,March,2 Eastern,Whitehorse,"5,446","3,155.1"
